raw_line,line_type,source_file
Cari Hesap Ekstresi - 12100434 ( LESCON SPOR GIYIM SAN.VE TIC.A.S.-$ HS ) (ISTANBUL) (01/01/2025 - 31/12/2030),diger,lescon    usd.xls
İşlem,diger,lescon    usd.xls
Tarihi,diger,lescon    usd.xls
Açıklama,diger,lescon    usd.xls
Miktar,diger,lescon    usd.xls
Net,diger,lescon    usd.xls
Fiyat,diger,lescon    usd.xls
Borç,diger,lescon    usd.xls
Tutar,diger,lescon    usd.xls
Alacak,diger,lescon    usd.xls
Bakiye,diger,lescon    usd.xls
Devir:,diger,lescon    usd.xls
Evrak No :202500122,evrak,lescon    usd.xls
3$+KDV /POLY.BISTRECH BELARUS DUZ BOYA,price_product,lescon    usd.xls
Evrak No :202500832,evrak,lescon    usd.xls
Evrak No :202500285,evrak,lescon    usd.xls
"1.412.670 TL/35,5823 21.01.25 VD.ÇEK TAHSİL-FNo:182612",kur_farki,lescon    usd.xls
Evrak No :202500417,evrak,lescon    usd.xls
"81.786,60 TL/35,5823 21.01.25 VD.ÇEK FARKI-FNo:182637",kur_farki,lescon    usd.xls
Evrak No :202500581,evrak,lescon    usd.xls
Toplam:,toplam,lescon    usd.xls
Evrak No :202500607,evrak,lescon    usd.xls
Evrak No :202502134,evrak,lescon    usd.xls
3.70$+KDV /POLY.BISTRECH TAYLAN 2/2 DUZ BOYA,price_product,lescon    usd.xls
Evrak No :202502613,evrak,lescon    usd.xls
0.60$+%20 KDV /FASON BOYAMA,price_product,lescon    usd.xls
"104.663,99 TL/38,7045 16.05.25 VD.ÇEK TAHSİL-FNo:183668",kur_farki,lescon    usd.xls
Evrak No :202502935,evrak,lescon    usd.xls
"104.663,99 TL/38,8408 21.05.25 VD.ÇEK TAHSİL-FNo:183685",kur_farki,lescon    usd.xls
Evrak No :202502954,evrak,lescon    usd.xls
2.10$+KDV /MICRO SATEN DZU BOYA,price_product,lescon    usd.xls
"11.206,06 TL/38,7045 16.05.25 VD.ÇEK FARKI-FNo:183715",kur_farki,lescon    usd.xls
"11.614,10 TL/38,8408 21.05.25 VD.ÇEK FARKI-FNo:183715",kur_farki,lescon    usd.xls
Evrak No :202506827,evrak,lescon    usd.xls
Evrak No :202503108,evrak,lescon    usd.xls
2.10$+KDV /MICRO SATEN DUZ BOYA,price_product,lescon    usd.xls
Evrak No :202503309,evrak,lescon    usd.xls
Evrak No :202503308,evrak,lescon    usd.xls
2.15$+KDV /NAYL.DOWN PROOF 20D VICTORIA SUIT.KALENDER,price_product,lescon    usd.xls
Evrak No :202503334,evrak,lescon    usd.xls
Evrak No :202503343,evrak,lescon    usd.xls
Evrak No :202503454,evrak,lescon    usd.xls
1.90$+KDV /POLY.ULTRALIGHT 30D DUZ BOYA,price_product,lescon    usd.xls
Evrak No :202503578,evrak,lescon    usd.xls
Evrak No :202503622,evrak,lescon    usd.xls
3.10$+KDV /MELTEM SUIT.YAG ITICI MEMBRAN LAMINASYON,price_product,lescon    usd.xls
Evrak No :202503752,evrak,lescon    usd.xls
Evrak No :202504140,evrak,lescon    usd.xls
0.72$+KDV /POLY.ASTAR DUZ BOYA,price_product,lescon    usd.xls
Evrak No :202504211,evrak,lescon    usd.xls
Evrak No :202504722,evrak,lescon    usd.xls
Evrak No :202505581,evrak,lescon    usd.xls
2$+KDV /POLY.ULTRALIGHT 30D SU ITICI,price_product,lescon    usd.xls
Evrak No :202505846,evrak,lescon    usd.xls
3$+KDV /NAYL.BISTRECH SUPER ASTOR DUZ BOYA,price_product,lescon    usd.xls
Evrak No :202505884,evrak,lescon    usd.xls
Evrak No :202511905,evrak,lescon    usd.xls
Evrak No :202506055,evrak,lescon    usd.xls
"3.10$+KDV /MELTEM 2*2 SUIT.YAG ITICI MEMBRAN LAMINASYON,",price_product,lescon    usd.xls
Evrak No :202506067,evrak,lescon    usd.xls
3$+KDV NAYL.BISTRECH SUPER ASTOR DUZ BOYA,diger,lescon    usd.xls
Evrak No :202506354,evrak,lescon    usd.xls
"1.291.411,44 TL/42,2420 16.11.25 VD.ÇEK TAHSİL-FNo:185304",kur_farki,lescon    usd.xls
"94.126,16 TL/42,2420 16.11.25 VD.ÇEK FARKI-FNo:185336",kur_farki,lescon    usd.xls
Evrak No :202506488,evrak,lescon    usd.xls
2.75$+KDV /POLY.BISTRECH RIBSTOP DUZ BOYA,price_product,lescon    usd.xls
