raw_line,line_type,source_file
Cari Hesap Ekstresi - 12700029 ( LESCON SPOR GIYIM SAN.VE TIC.A.S.-ORME $ HS ) () (01/01/2025 - 31/12/2030),diger,lescon    örme usd hs.xls
İşlem,diger,lescon    örme usd hs.xls
Tarihi,diger,lescon    örme usd hs.xls
Açıklama,diger,lescon    örme usd hs.xls
Birim,diger,lescon    örme usd hs.xls
Cinsi,diger,lescon    örme usd hs.xls
Miktar,diger,lescon    örme usd hs.xls
Fiyat,diger,lescon    örme usd hs.xls
Net,diger,lescon    örme usd hs.xls
Tutar,diger,lescon    örme usd hs.xls
Borç,diger,lescon    örme usd hs.xls
Alacak,diger,lescon    örme usd hs.xls
Bakiye,diger,lescon    örme usd hs.xls
Devir:,diger,lescon    örme usd hs.xls
Evrak No :202500059,evrak,lescon    örme usd hs.xls
11.30$+KDV /NAYL.PAMUK INTERLOK,price_product,lescon    örme usd hs.xls
Evrak No :202500001,evrak,lescon    örme usd hs.xls
7.70$+KDV /INTERLOK SCUBA POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202500124,evrak,lescon    örme usd hs.xls
Evrak No :202500123,evrak,lescon    örme usd hs.xls
7.50$+KDV /JAKAR SUPREM POLY.ELASTAN ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202500147,evrak,lescon    örme usd hs.xls
7.20$+KDV /POLY.YAGMUR DESEN SIK NOKTA ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202500005,evrak,lescon    örme usd hs.xls
7$+KDV /SCUBA POLY.ELASTAN PIKE RAPORLU 100/96,price_product,lescon    örme usd hs.xls
Evrak No :202500237,evrak,lescon    örme usd hs.xls
7.50$+KDV /JAKAR SUPREM POLY.RAPORLU PIKE ELASTAN ANTISTATIK,price_product,lescon    örme usd hs.xls
Evrak No :202500238,evrak,lescon    örme usd hs.xls
7$+KDV /SUPREM POLY.ELASTAN ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202500330,evrak,lescon    örme usd hs.xls
8.50$+KDV /DOUBLEFACE POLY.PAMUK ELASTAN,price_product,lescon    örme usd hs.xls
