evrak_no,tarih,urun_aciklamasi,unit_price_usd,miktar_mt,fabric_type,source_file
202500059,2025-01-06,NAYL.PAMUK INTERLOK,11.3,501.3,interlok,lescon_orme
202500059,2025-01-06,NAYL.PAMUK INTERLOK,11.3,508.0,interlok,lescon_orme
202500059,2025-01-06,NAYL.PAMUK INTERLOK,11.3,537.1,interlok,lescon_orme
202500001,2025-01-08,INTERLOK SCUBA POLY.ELASTAN,7.7,766.7,interlok,lescon_orme
202500124,2025-01-09,INTERLOK SCUBA POLY.ELASTAN,7.7,751.18,interlok,lescon_orme
202500123,2025-01-09,JAKAR SUPREM POLY.ELASTAN ANTISTATIK APRE,7.5,160.3,suprem,lescon_orme
202500147,2025-01-10,POLY.YAGMUR DESEN SIK NOKTA ANTISTATIK APRE,7.2,275.1,polyester,lescon_orme
202500147,2025-01-10,POLY.YAGMUR DESEN SIK NOKTA ANTISTATIK APRE,7.2,515.2,polyester,lescon_orme
202500005,2025-01-14,SCUBA POLY.ELASTAN PIKE RAPORLU 100/96,7.0,17.7,scuba,lescon_orme
202500237,2025-01-15,JAKAR SUPREM POLY.RAPORLU PIKE ELASTAN ANTISTATIK,7.5,159.8,suprem,lescon_orme
202500238,2025-01-15,SUPREM POLY.ELASTAN ANTISTATIK APRE,7.0,18.5,suprem,lescon_orme
202500330,2025-01-16,DOUBLEFACE POLY.PAMUK ELASTAN,8.5,10.49,doubleface,lescon_orme
202500327,2025-01-16,INTERLOK SCUBA POLY.ELASTAN,7.7,769.85,interlok,lescon_orme
202500286,2025-01-17,SCUBA INCE POLY.ELASTAN,7.7,506.04,scuba,lescon_orme
202500321,2025-01-20,JAKAR SUPREM POLY.RAPOR PIKE ELAS.ANTISTATIK PFD,6.5,553.5,suprem,lescon_orme
202500321,2025-01-20,JAKAR SUPREM POLY.RAPOR PIKE ELAS.ANTISTATIK,7.5,429.5,suprem,lescon_orme
202500380,2025-01-21,INTERLOK SCUBA POLY.ELASTAN,7.7,1129.3,interlok,lescon_orme
202500379,2025-01-21,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK PFD,6.5,581.9,suprem,lescon_orme
202500416,2025-01-22,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,7.5,479.7,suprem,lescon_orme
202500449,2025-01-24,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,7.5,420.5,suprem,lescon_orme
202500449,2025-01-24,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,7.5,456.0,suprem,lescon_orme
202500474,2025-01-27,NAYL.ELASTAN KASKORSE,10.0,6.5,kaskorse,lescon_orme
202500540,2025-01-29,POLY.FILE 5*1 DUZ BOYA,6.5,113.55,file,lescon_orme
202500539,2025-01-29,NAYL.ELASTAN DIAGONEL OTTOMAN,10.0,515.65,ottoman,lescon_orme
202500555,2025-01-30,INTERLOK SCUBA POLY.ELASTAN,7.7,579.8,interlok,lescon_orme
202501757,2025-01-30,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK PFD,6.5,-581.9,suprem,lescon_orme
202501757,2025-01-30,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK PFD,6.5,-283.9,suprem,lescon_orme
202501757,2025-01-30,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK PFD,6.5,-247.0,suprem,lescon_orme
202501758,2025-01-30,NAYL.ELASTAN KASKORSE,10.0,-6.5,kaskorse,lescon_orme
202501758,2025-01-30,SUPREM RAPORLU PIKE,7.5,-22.0,suprem,lescon_orme
202501758,2025-01-30,SUPREM RAPORLU PIKE,6.5,-23.0,suprem,lescon_orme
202500576,2025-01-31,INTERLOK POLY.,6.3,55.6,interlok,lescon_orme
202500575,2025-01-31,SCUBA INCE POLY.ELASTAN,7.7,464.3,scuba,lescon_orme
202500606,2025-02-03,NAYL.ELASTAN DIAGONEL OTTOMAN,10.0,464.3,ottoman,lescon_orme
202500605,2025-02-03,INTERLOK POLY.,6.3,123.1,interlok,lescon_orme
202500675,2025-02-03,JAKAR SUPREM PES ELASTAN PFD ANTISTATIK APRE,6.5,16.25,suprem,lescon_orme
202500658,2025-02-04,NAYL.ELASTAN DIAGONEL OTTOMAN,10.0,501.91,ottoman,lescon_orme
202500657,2025-02-04,INTERLOK POLY.,6.3,113.3,interlok,lescon_orme
202500686,2025-02-05,SCUBA INCE POLY.ELASTAN,7.7,490.64,scuba,lescon_orme
202500685,2025-02-05,INTERLOK POLY.,6.3,35.0,interlok,lescon_orme
202500705,2025-02-06,SUPREM POLY.ELASTAN ANTISTATIK APRE,7.0,279.6,suprem,lescon_orme
202500704,2025-02-06,NAYL.ELASTAN DIAGONEL OTTOMAN,10.0,427.8,ottoman,lescon_orme
202500703,2025-02-06,INTERLOK POLY.,6.3,67.3,interlok,lescon_orme
202500738,2025-02-06,RAPORLU PIKE POLY.ELASTAN,7.5,14.6,pike,lescon_orme
202502187,2025-02-07,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,7.5,-456.0,suprem,lescon_orme
202502187,2025-02-07,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,7.5,-457.7,suprem,lescon_orme
202500787,2025-02-10,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,7.5,117.5,suprem,lescon_orme
202500781,2025-02-10,INTERLOK POLY.ELASTAN,7.7,895.34,interlok,lescon_orme
202500781,2025-02-10,INTERLOK POLY.ELASTAN,7.7,865.6,interlok,lescon_orme
202500780,2025-02-10,NAYL.ELASTAN DIAGONEL OTTOMAN,10.0,405.8,ottoman,lescon_orme
202500807,2025-02-10,SCUBA PENYE COMP.POLY.ELASTAN,8.5,22.3,scuba,lescon_orme
202500800,2025-02-10,RAPORLU PIKE,6.5,89.3,pike,lescon_orme
202500816,2025-02-11,DOUBLEFACE PAMUK POLY.PIKE ELASTAN 36/1,8.3,9.5,doubleface,lescon_orme
202500816,2025-02-11,DOUBLEFACE PAMUK POLY.PIKE ELASTAN 40/1,8.5,13.1,doubleface,lescon_orme
202500836,2025-02-12,INTERLOK SCUBA POLY.ELASTAN,7.7,635.1,interlok,lescon_orme
202500836,2025-02-12,INTERLOK SCUBA POLY.ELASTAN,7.7,635.3,interlok,lescon_orme
202500880,2025-02-13,SUPREM POLY.ELASTAN ANTISTATIK APRE,7.0,211.5,suprem,lescon_orme
202500886,2025-02-13,RAPORLU PIKE,6.5,338.87,pike,lescon_orme
202500886,2025-02-13,RAPORLU PIKE,7.5,453.2,pike,lescon_orme
202500886,2025-02-13,RAPORLU PIKE,7.5,360.5,pike,lescon_orme
202500907,2025-02-14,INTERLOK SCUBA POLY.ELASTAN,7.7,197.4,interlok,lescon_orme
202500907,2025-02-14,INTERLOK SCUBA POLY.ELASTAN,7.7,217.9,interlok,lescon_orme
202500891,2025-02-14,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,7.5,354.8,suprem,lescon_orme
202500030,2025-02-14,PIKE INTERLOK POLY.PAMUK ELASTAN,8.0,15.8,interlok,lescon_orme
202500920,2025-02-17,SUPREM POLY.ELASTAN ANTISTATIK APRE,7.0,572.25,suprem,lescon_orme
202500920,2025-02-17,SUPREM POLY.ELASTAN ANTISTATIK APRE,7.0,180.4,suprem,lescon_orme
202500919,2025-02-17,INTERLOK SCUBA POLY.ELASTAN,7.7,712.76,interlok,lescon_orme
202500973,2025-02-18,INTERLOK SCUBA POLY.ELASTAN,7.7,152.6,interlok,lescon_orme
202500973,2025-02-18,INTERLOK SCUBA POLY.ELASTAN,7.7,265.49,interlok,lescon_orme
202500972,2025-02-18,SUPREM POLY.ELASTAN ANTISTATIK APRE,7.0,183.8,suprem,lescon_orme
202501006,2025-02-19,SUPREM POLY.ELASTAN ANTISTATIK APRE,7.0,288.2,suprem,lescon_orme
202501005,2025-02-19,INTERLOK SCUBA POLY.ELASTAN,7.7,704.48,interlok,lescon_orme
202501053,2025-02-19,JAKAR SUPREM PES ELASTAN ANTISTATIK APRE,6.5,700.15,suprem,lescon_orme
202501053,2025-02-19,JAKAR SUPREM PES ELASTAN ANTISTATIK APRE,6.5,263.0,suprem,lescon_orme
202501024,2025-02-20,JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,7.5,569.28,suprem,lescon_orme
202501084,2025-02-24,NAYL.ELASTAN KASKORSE,10.0,273.0,kaskorse,lescon_orme
202501083,2025-02-24,POLY.FILE 5*1 DUZ BOYA,6.5,35.2,file,lescon_orme
202501082,2025-02-24,INTERLOK POLY.,6.3,116.2,interlok,lescon_orme
202501082,2025-02-24,INTERLOK POLY.,6.3,68.35,interlok,lescon_orme
